THepatitis_present	[0.0022165317265008004,0.0022165317265008004]
hepatomegaly_absent	[0.0009147636389666792,0.0009147636389666792]
hepatalgia_present	[0.0,-0.0]
hepatalgia_absent	[0.000886678794414034,0.000886678794414034]
density_present	[0.0,-0.0]
density_absent	[0.0,-0.0]
ESR_a200_50	[0.0,-0.0]
ESR_a49_15	[0.0,-0.0]
ESR_a14_0	[0.0,-0.0]
alt_a850_200	[0.0,-0.0]
alt_a199_100	[0.0,-0.0]
alt_a99_35	[0.0,-0.0]
alt_a34_0	[0.0,-0.0]
ast_a700_400	[0.0,-0.0]
ast_a399_150	[0.0,-0.0]
ast_a149_40	[0.0,-0.0]
ast_a39_0	[0.0,-0.0]
amylase_a1400_500	[0.002861230092521995,0.002861230092521995]
amylase_a499_300	[0.007153074465925988,0.007153074465925988]
amylase_a299_0	[0.8240343542388745,0.8240343542388745]
ggtp_a640_70	[0.0,-0.0]
ggtp_a69_30	[0.0,-0.0]
ggtp_a29_10	[0.0,-0.0]
ggtp_a9_0	[0.0,-0.0]
cholesterol_a999_350	[0.0,-0.0]
cholesterol_a349_240	[0.0,-0.0]
cholesterol_a239_0	[0.0,-0.0]
hbsag_present	[0.0,-0.0]
hbsag_absent	[0.0,-0.0]
hbsag_anti_present	[0.0,-0.0]
hbsag_anti_absent	[0.0,-0.0]
anorexia_present	[0.019409426595740444,0.019409426595740444]
anorexia_absent	[0.0,-0.0]
nausea_present	[0.0008065353253396771,0.0008065353253396771]
nausea_absent	[0.04936745880789137,0.04936745880789137]
spleen_present	[0.0,-0.0]
spleen_absent	[0.0,-0.0]
consciousness_present	[0.0,-0.0]
consciousness_absent	[0.0,-0.0]
spiders_present	[0.0,-0.0]
spiders_absent	[0.0,-0.0]
jaundice_present	[0.0,-0.0]
jaundice_absent	[0.0,-0.0]
albumin_a70_50	[0.0,-0.0]
albumin_a49_30	[0.0,-0.0]
albumin_a29_0	[0.0,-0.0]
edge_present	[0.0,-0.0]
edge_absent	[0.0,-0.0]
irregular_liver_present	[0.0,-0.0]
irregular_liver_absent	[0.0,-0.0]
hbc_anti_present	[0.0,-0.0]
hbc_anti_absent	[0.0,-0.0]
hcv_anti_present	[0.0,-0.0]
hcv_anti_absent	[0.0,-0.0]
palms_present	[0.0,-0.0]
palms_absent	[0.0,-0.0]
hbeag_present	[0.0,-0.0]
hbeag_absent	[0.0,-0.0]
carcinoma_present	[0.0,-0.0]
carcinoma_absent	[0.0,-0.0]
